"Population","Income","Illiteracy","Life Exp","Murder","HS Grad","Frost","Area","Log_Income"
3615,3624,2.1,69.05,15.1,41.3,20,50708,8.19533366716287
365,6315,1.5,69.31,11.3,66.7,152,566432,8.75068303478459
2212,4530,1.8,70.55,7.8,58.1,15,113417,8.41847721847708
2110,3378,1.9,70.66,10.1,39.9,65,51945,8.12503909736775
21198,5114,1.1,71.71,10.3,62.6,20,156361,8.53973715585113
2541,4884,0.7,72.06,6.8,63.9,166,103766,8.4937198352306
3100,5348,1.1,72.48,3.1,56,139,4862,8.58447793822183
579,4809,0.9,70.06,6.2,54.6,103,1982,8.47824444127766
8277,4815,1.3,70.66,10.7,52.6,11,54090,8.47949132423223
4931,4091,2,68.54,13.9,40.6,60,58073,8.3165447179294
868,4963,1.9,73.6,6.2,61.9,0,6425,8.50976567558744
813,4119,0.6,71.87,5.3,59.5,126,82677,8.32336569443608
11197,5107,0.9,70.14,10.3,52.6,127,55748,8.53836742664764
5313,4458,0.7,70.88,7.1,52.9,122,36097,8.40245551394581
2861,4628,0.5,72.56,2.3,59,140,55941,8.43988008831357
2280,4669,0.6,72.58,4.5,59.9,114,81787,8.44870019497094
3387,3712,1.6,70.1,10.6,38.5,95,39650,8.21932609390609
3806,3545,2.8,68.76,13.2,42.2,12,44930,8.17329343896623
1058,3694,0.7,70.39,2.7,54.7,161,30920,8.21446516075919
4122,5299,0.9,70.22,8.5,52.3,101,9891,8.57527340249276
5814,4755,1.1,71.83,3.3,58.5,103,7826,8.46695197497949
9111,4751,0.9,70.63,11.1,52.8,125,56817,8.46611040118692
3921,4675,0.6,72.96,2.3,57.6,160,79289,8.44998444172279
2341,3098,2.4,68.09,12.5,41,50,47296,8.03851202097681
4767,4254,0.8,70.69,9.3,48.8,108,68995,8.35561499576018
746,4347,0.6,70.56,5,59.2,155,145587,8.37724123098879
1544,4508,0.6,72.6,2.9,59.3,139,76483,8.41360887515967
590,5149,0.5,69.03,11.5,65.2,188,109889,8.54655780004614
812,4281,0.7,71.23,3.3,57.6,174,9027,8.36194190614495
7333,5237,1.1,70.93,5.2,52.5,115,7521,8.56350409427949
1144,3601,2.2,70.32,9.7,55.2,120,121412,8.18896686364888
18076,4903,1.4,70.55,10.9,52.7,82,47831,8.49760254165123
5441,3875,1.8,69.21,11.1,38.5,80,48798,8.26230094178745
637,5087,0.8,72.78,1.4,50.3,186,69273,8.53444354482276
10735,4561,0.8,70.82,7.4,53.2,124,40975,8.4252971767117
2715,3983,1.1,71.42,6.4,51.6,82,68782,8.28979058318164
2284,4660,0.6,72.13,4.2,60,44,96184,8.44677072711969
11860,4449,1,70.43,6.1,50.2,126,44966,8.40043463080604
931,4558,1.3,71.9,2.4,46.4,127,1049,8.42463920980563
2816,3635,2.3,67.96,11.6,37.8,65,30225,8.19836438996762
681,4167,0.5,72.08,1.7,53.3,172,75955,8.33495163142245
4173,3821,1.7,70.11,11,41.8,70,41328,8.2482674474469
12237,4188,2.2,70.9,12.2,47.4,35,262134,8.33997857199043
1203,4022,0.6,72.9,4.5,67.3,137,82096,8.2995345703326
472,3907,0.6,71.64,5.5,57.1,168,9267,8.27052509505507
4981,4701,1.4,70.08,9.5,47.8,85,39780,8.45553053102413
3559,4864,0.6,71.72,4.3,63.5,32,66570,8.489616423646
1799,3617,1.4,69.48,6.7,41.6,100,24070,8.1934002319521
4589,4468,0.7,72.48,3,54.5,149,54464,8.40469616018909
376,4566,0.6,70.29,6.9,62.9,173,97203,8.42639282708974
